Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
DEC,Decade Resources,TSX.V,Ecuador,Ecuador,Azuay,Exploration,Yauricocha (Ecuador - copper-molybdenum),None,Ecuador porphyry; Early-stage
LOT,TomaGold,TSX.V,Canada,Canada,Quebec,Exploration,Monster Lake (QC - gold),None,Quebec gold; Minimal copper
GT,GT Resources,TSX.V,Canada,Canada,British Columbia,Exploration,Laird (BC - copper-gold-silver),None,BC copper-gold-silver; Early-stage
GRG,Golden Arrow Resources,TSX.V,Argentina,Argentina,Salta,Exploration,Flecha de Oro (Argentina - copper-gold-silver - JV Barrick),None,Argentinian explorer; Barrick JV
SME,Sama Resources,TSX.V,Ivory Coast,Ivory Coast,Yamoussoukro,Exploration,Samapleu (Ivory Coast - copper-nickel-PGE),None,West African copper-nickel; PGE byproduct
BRO,Barksdale Resources,TSX.V,United States,USA,Arizona,Exploration,Sunnyside (AZ - copper-gold-silver),None,Arizona copper-gold-silver; Historical district
AWX,ArcWest Exploration,TSX.V,United States,USA,Montana,Exploration,Eastgate (MT - porphyry copper-gold),None,Montana porphyry; Early-stage
TWO,T2 Metals,TSX.V,Sweden,Sweden,Norrbotten,Exploration,Sherridon (MB - VMS - sold); Sweden focus now,None,Swedish copper; Previously Manitoba
ACDX,American Copper,CSE,United States,USA,Arizona,Exploration,Arizona projects,None,Arizona copper; Early-stage
VCG,Visionary Copper and Gold Mines,TSX.V,Canada,Canada,British Columbia,Exploration,BC projects,None,BC copper-gold; Early-stage
SXL,SLAM Exploration,TSX.V,Canada,Canada,Quebec,Exploration,Cygnus (QC - VMS),None,Quebec VMS; Base metals
FRI,Freeport Resources,TSX.V,Indonesia,Indonesia,Papua,Exploration,Block A (Indonesia - near Grasberg),None,Indonesia exploration; Near Grasberg
ELY,Electrum Discovery,TSX.V,Multiple,Multiple,Multiple,Exploration,Multiple copper projects,None,Multi-jurisdiction explorer
QMET,Q Precious and Battery Metals,CSE,Canada,Canada,Quebec,Exploration,Multiple QC projects,None,Quebec explorer; Battery metals focus
EXG,ExGen Resources,TSX.V,Canada,Canada,British Columbia,Exploration,Empire (BC - copper-gold),None,BC copper-gold; Early-stage
CQX,Copper Quest Exploration,CSE,Canada,Canada,British Columbia,Exploration,BC copper projects,None,BC copper explorer; Early-stage
CCMI,Canadian Critical Minerals,TSX.V,Canada,Canada,British Columbia,Exploration,Bull River (BC - copper),None,BC copper; Critical minerals focus
CPER,CopperCorp Resources,TSX.V,Canada,Canada,British Columbia,Exploration,BC copper projects,None,BC copper explorer; Early-stage
AZR,Azarga Metals,TSX.V,United States,USA,Colorado,Exploration,Marg (CO - copper-gold-molybdenum),None,Colorado porphyry; Historical exploration
TMET,Torr Metals,TSX.V,Canada,Canada,British Columbia,Exploration,Latham (BC - copper-gold porphyry),None,BC porphyry; Early-stage
GTC,Getty Copper,TSX.V,United States,USA,Nevada,Exploration,Getty (NV - porphyry),None,Nevada porphyry; Early-stage
APN,Altiplano Metals,TSX.V,Chile,Chile,Atacama,Exploration,El Peñón (Chile - copper-gold porphyry),None,Chilean porphyry; Early-stage
YORK,York Harbour Metals,CSE,Canada,Canada,Newfoundland,Exploration,York Harbour (NL - copper-zinc VMS),None,Newfoundland VMS; Historical
ZEUS,Zeus Mining,CSE,Canada,Canada,British Columbia,Exploration,BC projects,None,BC explorer; Early-stage
NBLC,Nobel Resources,TSX.V,Canada,Canada,British Columbia,Exploration,Aldershot (BC - copper-gold porphyry),None,BC porphyry; Early-stage
FMN,Fidelity Minerals,TSX.V,Canada,Canada,British Columbia,Exploration,Greenwood (BC - copper-gold),None,BC copper-gold; Historical area
LECR,Leocor Mining,CSE,Canada,Canada,Quebec,Exploration,Dorset (QC - VMS),None,Quebec VMS; Early-stage
NSG,Northstar Gold,CSE,Canada,Canada,Alaska,Exploration,Alaska projects,None,Alaska exploration; Gold-copper
ATC,ATERRA Metals,CSE,Canada,Canada,British Columbia,Exploration,BC projects,None,BC explorer; Early-stage
GSPR,GSP Resource,TSX.V,Canada,Canada,British Columbia,Exploration,Alwin (BC - copper-molybdenum),None,BC copper-molybdenum; Historical mine
MEK,Metals Creek Resources,TSX.V,Canada,Canada,Newfoundland,Exploration,Tilt Cove (NL - historical copper),None,Newfoundland historical copper district
PERU,Chakana Copper,TSX.V,Peru,Peru,Áncash,Exploration,Soledad (Peru - copper-gold porphyry),None,Peruvian porphyry; High-grade discovery
CASC,Cascade Copper,CSE,Canada,Canada,British Columbia,Exploration,BC projects,None,BC copper; Early-stage
CMIL,Capella Minerals,TSX.V,Norway,Norway,Multiple,Exploration,Hessjøgruva (Norway - copper),None,Norwegian copper; Historical mine
AVU,Avrupa Minerals,TSX.V,Multiple,"Portugal, Kosovo",Multiple,Exploration,Alvalade (Portugal - copper-zinc VMS),Multiple projects,European explorer; Portugal & Kosovo
MKR,Melkior Resources,TSX.V,Canada,Canada,Quebec,Exploration,Carscallen (QC - gold-copper),None,Quebec gold-copper; Timmins area
GZD,Grizzly Discoveries,TSX.V,Canada,Canada,Nunavut,Exploration,Greenland (NU - copper-silver-gold),None,Nunavut copper-silver-gold; Early-stage
CRD,Copper Road Resources,TSX.V,Canada,Canada,Ontario,Exploration,Esker (ON - VMS),None,Ontario VMS; Early-stage
VMS,Vortex Metals,TSX.V,Canada,Canada,Quebec,Exploration,Buffonta (QC - VMS),None,Quebec VMS; Early-stage
CUEX,CopperEx Resources,TSX.V,Canada,Canada,British Columbia,Exploration,BC projects,None,BC copper explorer; Early-stage
WCU,World Copper,TSX.V,Chile,Chile,Atacama,Exploration,Escalones (Chile - porphyry),None,Chilean porphyry; Large-scale target
GLDS,Golden Spike Resources,CSE,Canada,Canada,British Columbia,Exploration,Gregory River (NL - copper),None,Newfoundland copper; Early-stage
IMC,Ibero Mining,TSX.V,Spain,Spain,Huelva,Exploration,Condestable (Peru - sold); Spain focus now,None,Spanish explorer; Iberian Pyrite Belt
RTE,Route 109 Resources,TSX.V,Canada,Canada,British Columbia,Exploration,BC projects,None,BC explorer; Early-stage
INFI,Infinitum Copper,TSX.V,Chile,Chile,Antofagasta,Exploration,Hot Breccia (Chile - porphyry),None,Chilean porphyry; Early-stage
GGLD,General Copper Gold,CSE,Canada,Canada,British Columbia,Exploration,BC projects,None,BC copper-gold; Early-stage
ENRG,New Energy Metals,TSX.V,Canada,Canada,British Columbia,Exploration,BC battery metals & copper,None,BC battery metals; Copper component
FABL,Fabled Copper,CSE,Mexico,Mexico,Sonora,Exploration,Muskwa (BC - sold); Mexico now,None,Mexican copper; Changed from BC
ACDC,AC/DC Battery Metals,TSX.V,Canada,Canada,Quebec,Exploration,Chibougamau (QC - copper-gold),None,Quebec copper-gold; Battery metals focus
WMS,Western Metallica Resources,TSX.V,Canada,Canada,British Columbia,Exploration,BC projects,None,BC explorer; Early-stage
AUME,Auriginal Mining,TSX.V,Canada,Canada,British Columbia,Exploration,BC projects,None,BC exploration; Early-stage
ANDC,Andina Copper,TSX.V,Canada,Canada,British Columbia,Exploration,BC projects,None,BC copper; Early-stage
IAURY,IAMGOLD,OTC,Canada,"Canada, West Africa","ON, Burkina Faso",Producer,Gold primary with copper byproduct,Côté Gold (ON),Gold primary; Some copper credits; OTC ticker
GLNCY,Glencore,OTC,Switzerland,Global,Multiple,Producer & Processor,Same as GLEN,Same as GLEN,OTC ticker for GLEN.L
AAUKF,Anglo American,OTC,United Kingdom,"Chile, Peru",Multiple,Producer,Same as AA,Same as AA,OTC ticker for AAL.L
